Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Delta,Day,Cumulative delta
2023-06-27 00:00:00,1858.97,1864.69,1855.19,1862.04,13024.5446,2023-06-27 00:59:59.999,24227928.770217,18598,6922.6338,12878030.405309,0,-6101.9108,2023-06-27,-6101.9108
2023-06-27 01:00:00,1862.05,1867.17,1856.4,1864.04,11248.7726,2023-06-27 01:59:59.999,20949067.109484,13361,6174.0386,11497872.693946,0,-5074.734,2023-06-27,-11176.6448
2023-06-27 02:00:00,1864.03,1876.71,1862.0,1875.6,13239.8694,2023-06-27 02:59:59.999,24728291.113149,15085,7403.9725,13828283.305694,0,-5835.8969,2023-06-27,-17012.5417
2023-06-27 03:00:00,1875.6,1878.93,1870.64,1872.15,14034.9178,2023-06-27 03:59:59.999,26304110.67537,16591,6954.7906,13035756.302441,0,-7080.127199999999,2023-06-27,-24092.668899999997
2023-06-27 04:00:00,1872.16,1874.48,1870.48,1870.77,7136.4593,2023-06-27 04:59:59.999,13361098.150378,10104,3215.9833,6021197.794689,0,-3920.4760000000006,2023-06-27,-28013.1449
2023-06-27 05:00:00,1870.77,1871.43,1863.62,1867.53,9671.3791,2023-06-27 05:59:59.999,18056936.032196,12163,3248.3455,6065853.635633,0,-6423.033600000001,2023-06-27,-34436.1785
2023-06-27 06:00:00,1867.53,1869.55,1862.01,1869.47,8244.6551,2023-06-27 06:59:59.999,15383940.450028,15325,3190.8788,5954401.299008,0,-5053.7762999999995,2023-06-27,-39489.9548
2023-06-27 07:00:00,1869.47,1879.2,1867.73,1875.58,12497.7901,2023-06-27 07:59:59.999,23424677.5162,16631,6685.4176,12529960.657337,0,-5812.3725,2023-06-27,-45302.3273
2023-06-27 08:00:00,1875.59,1880.45,1873.96,1876.1,13837.707,2023-06-27 08:59:59.999,25969952.493865,16027,7805.4392,14647673.18529,0,-6032.2678000000005,2023-06-27,-51334.5951
2023-06-27 09:00:00,1876.09,1878.34,1871.61,1875.4,7864.7828,2023-06-27 09:59:59.999,14745428.970446,12225,4503.5569,8443673.347495,0,-3361.2259000000004,2023-06-27,-54695.821
2023-06-27 10:00:00,1875.4,1890.51,1875.39,1882.86,20535.8358,2023-06-27 10:59:59.999,38682711.867711,25405,11510.4722,21681638.286708,0,-9025.3636,2023-06-27,-63721.1846
2023-06-27 11:00:00,1882.86,1884.23,1874.98,1881.53,10006.7949,2023-06-27 11:59:59.999,18811916.182812,15360,4752.6116,8935308.418838,0,-5254.183300000001,2023-06-27,-68975.3679
